catalog_no,title,author_name,published_year,pages,language,status,Source,category1,category2
RE0026,සුශ්‍රැත සංහිතාව,ආර් බුද්ධදාස,1962-01-01,1000,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0027,සුශ්‍රැත නිදානස්ථානය,එච් ඩි අබේවර්ධන අප්පුහාමි,1891-01-01,102,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0028,සුශ්‍රැත ශාරිරස්ථානය,බටුවන්තුඩාවේ පඬිතුමා,1882-01-01,122,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0029,සුශ්‍රැත සූත්‍රස්ථානය,එස් ඒබ්‍රහම් ප්‍රනාන්දු,1896-01-01,88,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RE0030,සෙනෙහ විධිය හෙවත් බෙහෙත් තෙල් පොත.,ඇල් බි ප්‍රේරා,1902-01-01,108,Sinhala,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,වෛද්‍ය ග්‍රන්ථ හා නිඝණ්ඩු
RH0001,"වුත්තෝදය, සන්නය, විවරණය හා ටීකාව",උදම්මිට ධම්මරක්ඛිතතිස්ස හිමි,1916-01-01,88,,Full,Path Nirwana,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0002,සන්න සහිත වුත්තෝදය,විමලජෝති හිමි,1915-01-01,36,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0003,සන්න සහිත වුත්තෝදය,විමලජෝති හිමි,1915-01-01,42,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0004,එළුඡන්දසය,,,,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0005,එලු සඳස් ලකුණ.,,,,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0006,වුත්තාලංකාරය නම් වූ වුත්තෝදය වර්ණනාව,ගල්පොතුගොඩ ඤාණවංස හිමි,2021-01-01,,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0007,වුත්තෝදය ලංකානන්ද ව්‍යාඛ්‍යාව 01,,,,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0008,වුත්තෝදය ලංකානන්ද ව්‍යාඛ්‍යාව 02,,,,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0009,වෘත්ත මාලාඛ්යාව,,,,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0010,වෘත්තමාලව,,,,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0011,සඤ්ජීවනී ව්‍යාඛ්‍යා සහිත එලු සඳස් ලකුණ,,,,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
RH0012,සරලාව්‍යාඛ්‍යා සහිත වෘත්තරත්නාකරය,,,,,Full,Paramaththa,ඉපැරණි ග්‍රන්ථ,ඡන්දොලංකාර
